Name,City,Region,Property Type,Size(sqft),Bedrooms,Bathrooms,Price,Size_Category
In South Banasree Project A Standard 2200 Square Ft. Flat Is For Rent,Banasree,Dhaka,Apartment,2200,4,3,31000,2001-2500
"Remarkable Flat Of 1600 Sq Ft Is Up For Rent In Chandrima Model Town, Mohammadpur",Mohammadpur,Dhaka,Apartment,1600,3,3,16000,1501-2000
Nice 1300 Sq. Ft. Flat Is Available To Rent In Bashundhara R-a Close To Southeast Bank Limited,Bashundhara R-A,Dhaka,Apartment,1300,3,3,40000,1001-1500
Well-constructed And Nicely Planned Flat Of 1250 Sq Ft Is Vacant For Rent In Nobodoy Housing Society,Mohammadpur,Dhaka,Apartment,1250,3,3,19000,1001-1500
1500 SQ FT flat is now Vacant to rent in South Khulshi,Khulshi,Chattogram,Apartment,1500,3,3,30000,1001-1500
"If You Desire To Live In Baridhara, You Can Check This 2300 Sq Ft Residence, Which Is Up For Rent",Baridhara,Dhaka,Apartment,2300,3,3,85000,2001-2500
An Apartment Is Up For Rent At Gulshan 2 Near Russian Embassy,Gulshan,Dhaka,Apartment,2950,4,4,200000,2501-3000
An Affordable Apartment Of 1100 Sq Ft Is Waiting For Rent In Nobodoy Housing Society,Mohammadpur,Dhaka,Apartment,1100,3,2,15000,1001-1500
We Are Offering You A 3000 Sq Ft Ready Flat For Rent In Baridhara,Baridhara,Dhaka,Apartment,3000,4,4,250000,2501-3000
3000 Sq Ft Ready Flat With Great Fittings For Rent In Baridhara,Baridhara,Dhaka,Apartment,3000,4,4,250000,2501-3000
"Deal With This 3000 Sq Ft Splendid Flat For Rent In Baridhara, K Block",Baridhara,Dhaka,Apartment,3000,4,4,250000,2501-3000
Pursue This 3000 Sq Ft Ready Flat For Rent In Baridhara,Baridhara,Dhaka,Apartment,3000,4,4,250000,2501-3000
A 850 Sq Ft Flat Is Up For Rent In A Well Secured Location Of North Pirerbag,Mirpur,Dhaka,Apartment,850,2,2,18000,501-1000
"If You Are Looking For A Modern Well-planned Flat For Rent Then You Can Choose This 3600 Sq Ft Flat In Block K, Baridhara.",Baridhara,Dhaka,Apartment,3600,3,3,320000,3501-4000
Your Desired 3-Bedroom Apartment In Baridhara Is Now Available For Rent,Baridhara,Dhaka,Apartment,2300,3,3,85000,2001-2500
Amazing 2100 Sq Ft Apartment Is Available For Rent In Dhanmondi,Dhanmondi,Dhaka,Apartment,2100,3,4,55000,2001-2500
A Very Impressively Done 1700 Sq Ft Rental Residential Flat Is In The Center Of Baridhara,Baridhara,Dhaka,Apartment,1700,3,3,80000,1501-2000
Offering You A Spacious 2500 Sq Ft Flat For Rent In Gulshan Near To Gulshan Pink City,Gulshan,Dhaka,Apartment,2500,3,3,110000,2001-2500
"This Residential Apartment Of 1500 Sq Ft Is Available For Rent In Bashundhara, Block M",Bashundhara R-A,Dhaka,Apartment,1500,3,4,18000,1001-1500
"Reside In This 1700 Sq Ft Well Fitted Flat Which Is Located At Block F, Banasree",Banasree,Dhaka,Apartment,1700,4,3,33000,1501-2000
Plan to move in this 3305 SQ FT flat which is up to Rent in Baridhara near to American International School,Baridhara,Dhaka,Apartment,3305,4,4,200000,3001-3500
We Bring You A Beautiful And Distinct Apartment For Rent In Gulshan Having Situated In A Pleasant Location.,Gulshan,Dhaka,Apartment,2200,3,3,80000,2001-2500
Elegant Residential Apartment Covering An Area Of 3200 Sq Ft Is Ready For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,3200,3,3,160000,3001-3500
"Comfortable, Convenient And Well Constructed 750 Sq Ft Flat For Rent In Mohammadpur, Near Masjid Market",Mohammadpur,Dhaka,Apartment,750,2,2,15000,501-1000
"1800 Sq Ft Apartment Is Ready For Rent In The Great Area Of Banani Dohs, Western Road",Banani DOHS,Dhaka,Apartment,1800,3,3,85000,1501-2000
1265 Sq Ft Residential Apartment For Rent in Mohammadpur,Mohammadpur,Dhaka,Apartment,1265,3,3,18000,1001-1500
"Ready apartment 1040 SQ FT is now to Rent in Block A, Mohammadpur",Mohammadpur,Dhaka,Apartment,1040,3,2,16000,1001-1500
Suitable 1200 Sq Ft Flat For Rent In East Kazipara Mirpur,Mirpur,Dhaka,Apartment,1200,3,3,19000,1001-1500
"A Beautifully Constructed Apartment Of 1350 Sq Ft Is Vacant Right Now For Rent In Moinarbagh, Uttar Badda",Badda,Dhaka,Apartment,1350,3,3,24000,1001-1500
"This 1700 Sq Ft Well Defined Flat Is Now Vacant To Rent In Block F, Banasree",Banasree,Dhaka,Apartment,1700,4,3,35000,1501-2000
Ready 1000 SQ FT flat is now to Rent in Double Mooring,Double Mooring,Chattogram,Apartment,1000,2,2,15000,501-1000
Flat for rent in Bayazid near Govt. Ashekane Awlia Degree College,Bayazid,Chattogram,Apartment,850,2,2,12000,501-1000
900 Sq Ft Apartment Is For Rent In South Khulshi Close To South Khulshi Mosque Which Is Tailored To Your Highest Standards,Khulshi,Chattogram,Apartment,900,1,1,16000,501-1000
"Smartly Priced 3500 Sq Ft Apartment, That You Should Check In Gulshan 2",Gulshan,Dhaka,Apartment,3500,4,4,150000,3001-3500
This Tasteful Apartment Which Is For Rent In Baridhara Near Madinatul Ulum Madrasa Masjid.,Baridhara,Dhaka,Apartment,2000,3,3,50000,1501-2000
Stunning 4-bedroom Apartment For Rent In Baridhara,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
2300 Square Feet Apartment Is For Rent In The Soothing Locality Of Uttara-6,Uttara,Dhaka,Apartment,2300,3,3,60000,2001-2500
Plan To Move In This 1150 Sq Ft Flat Which Is Up To Rent In Shah Ali Bag,Mirpur,Dhaka,Apartment,1150,3,3,19000,1001-1500
A 2200 Square Feet Full Furnished Residential Apartment Is Up For Rent In Bashundhara,Bashundhara R-A,Dhaka,Apartment,2200,3,4,80000,2001-2500
A 2000 Square Feet Furnished Apartment Is Ready For Rent At Uttara Sector 4,Uttara,Dhaka,Apartment,2000,4,4,80000,1501-2000
"Apartment For Rent In Mirpur, Near Kuwaiti Mosque",Mirpur,Dhaka,Apartment,1035,3,2,15000,1001-1500
Elegant 4-bedroom 4000 Sq Ft Apartment For Rent In Baridhara,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
1150 SFT 3 Bed Apt. Is Ready To Rent In Mohammadpur,Mohammadpur,Dhaka,Apartment,1150,3,2,16000,1001-1500
Luxurious Living in Baridhara | Spacious 4-Bedroom Apartment for Rent,Baridhara,Dhaka,Apartment,4000,4,4,400000,3501-4000
An Exceptional 2200 Sq Ft Apartment Is Now Available For Rent In The Prestigious Area Of Gulshan 2,Gulshan,Dhaka,Apartment,2200,3,3,75000,2001-2500
